Route ID,Route URL,Route name,Tags,Location,Distance,Elevation gain,Unpaved Percent,View Count,Collections,Created,Created by,Last Modification Date,Last Modification by,Privacy,Events,Experiences,Is Archived
6535371,https://ridewithgps.com/routes/6535371,Crysler [Billings],Touring,"Ottawa, Ontario",142.61,485,3,84,"",2014-11-25,Andre Gauthier,2020-11-13,Andre Gauthier,Public,"","",Yes
6710456,https://ridewithgps.com/routes/6710456,Alfred [Cumberland],"Touring, E, v2020","Ottawa, Ontario",137.49,476,3,420,"",2014-12-30,Andre Gauthier,2020-12-09,Andre Gauthier,Public,"","",No
6710528,https://ridewithgps.com/routes/6710528,Curran [Cumberland],"Touring, E, v2020","Ottawa, Ontario",106.18,414,4,243,"",2014-12-30,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6710540,https://ridewithgps.com/routes/6710540,Bourget [Cumberland],"Touring, E, v2020","Ottawa, Ontario",69.8,245,5,283,"",2014-12-30,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6710597,https://ridewithgps.com/routes/6710597,Montebello [Cumberland],"Touring, E","Ottawa, Ontario",136.39,744,4,95,"",2014-12-30,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",Yes
6724103,https://ridewithgps.com/routes/6724103,Almonte [Billings],Touring,"Ottawa, Ontario",121.99,535,0,176,"",2015-01-01,Andre Gauthier,2020-11-13,Andre Gauthier,Public,"","",Yes
6724487,https://ridewithgps.com/routes/6724487,Kanata [Billings],Touring,"Ottawa, Ontario",54.31,315,0,335,"",2015-01-01,Andre Gauthier,2020-11-13,Andre Gauthier,Public,"","",Yes
6734345,https://ridewithgps.com/routes/6734345,McGregor Lake [Billings],Touring,"Ottawa, Ontario",114.34,1053,1,437,"",2015-01-03,Andre Gauthier,2020-11-13,Andre Gauthier,Public,"","",Yes
6735715,https://ridewithgps.com/routes/6735715,Champlain Lookout [Moussette],"Touring, N, v2020","Gatineau, Québec",50.23,755,0,1330,"",2015-01-03,Andre Gauthier,2021-01-04,Andre Gauthier,Public,"","",No
6828885,https://ridewithgps.com/routes/6828885,Fitzroy [Billings],Touring,"Ottawa, Ontario",138.61,639,1,28,"",2015-01-19,Andre Gauthier,2020-11-13,Andre Gauthier,Public,"","",Yes
6865906,https://ridewithgps.com/routes/6865906,Chesterville [Osgoode],"Touring, S, v2020","Ottawa, Ontario",113.5,260,4,349,"",2015-01-25,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6866078,https://ridewithgps.com/routes/6866078,Pakenham-Stewartville-Arnprior [Carp],"Touring, W, v2020","Ottawa, Ontario",105.62,541,6,355,"",2015-01-25,David Palmer,2021-01-07,William Bourne,Public,"","",No
6866233,https://ridewithgps.com/routes/6866233,Alexandria [Casselman],"Touring, E, v2020","Casselman, Ontario",122.37,331,7,223,"",2015-01-25,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6866334,https://ridewithgps.com/routes/6866334,Prescott [Kemptville],"Touring, S, v2020","Kemptville, Ontario",127.09,215,8,114,"",2015-01-25,Andre Gauthier,2021-02-02,William Bourne,Public,"","",No
6867220,https://ridewithgps.com/routes/6867220,Rigaud [Alfred],"Touring, E, v2020","Alfred, Ontario",134.03,552,1,259,"",2015-01-25,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6869910,https://ridewithgps.com/routes/6869910,L'Orignal [Casselman],"Touring, E, v2020","Casselman, Ontario",129.17,320,7,229,"",2015-01-25,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6876809,https://ridewithgps.com/routes/6876809,Beachburg [Renfrew],"Touring, W, v2020","Renfrew, Ontario",120.79,659,7,375,"",2015-01-26,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6887300,https://ridewithgps.com/routes/6887300,Morrisburg [Kemptville],"Touring, S, v2020","Kemptville, Ontario",129.55,201,12,292,"",2015-01-28,Andre Gauthier,2021-02-02,William Bourne,Public,"","",No
6887387,https://ridewithgps.com/routes/6887387,Snow Rd Station Loop [Perth],"50for50, v2020, Touring, W","Perth, Ontario",122.56,538,0,551,"Perth, 50-for-50",2015-01-28,William Bourne,2021-04-06,Harold Blount,Public,"","",No
6887473,https://ridewithgps.com/routes/6887473,Westport_130[Perth],"Westport Tour, Touring, W, v2020","Perth, Ontario",129.16,380,16,277,"",2015-01-28,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
6906414,https://ridewithgps.com/routes/6906414,SmithFalls [Kemptville],"Touring, S, v2020","North Grenville, Ontario",121.63,169,2,274,Sanjay's Ottawa favourites,2015-01-31,Andre Gauthier,2021-02-02,William Bourne,Public,"","",No
6906662,https://ridewithgps.com/routes/6906662,Balderson [Almonte],"Touring, W, v2020","Almonte, Ontario",128.58,787,17,493,"",2015-01-31,David Palmer,2021-01-06,William Bourne,Public,"","",No
6910457,https://ridewithgps.com/routes/6910457,Eganville [Douglas],"Touring, W, v2020","Douglas, Ontario",137.93,1190,2,325,"",2015-02-01,Andre Gauthier,2021-01-08,William Bourne,Public,"","",No
6910539,https://ridewithgps.com/routes/6910539,Balderson [Carp],"Touring, W, v2020","Ottawa, Ontario",137.03,522,11,267,"",2015-02-01,David Palmer,2021-01-07,William Bourne,Public,"","",No
6911440,https://ridewithgps.com/routes/6911440,Griffith [Calabogie],"Calabogie, SECT, TE, W","Calabogie, Ontario",106.97,1177,15,426,"",2015-02-01,David Palmer,2020-10-04,David Palmer,Public,"","",No
6911714,https://ridewithgps.com/routes/6911714,Brockville [Kemptville],"Touring, S","Kemptville, Ontario",122.2,176,3,253,"",2015-02-01,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",Yes
6911880,https://ridewithgps.com/routes/6911880,Lanark-Perth [Almonte],"Touring, W, v2020","Almonte, Ontario",122.9,513,12,263,"",2015-02-01,David Palmer,2021-01-06,William Bourne,Public,"","",No
6948171,https://ridewithgps.com/routes/6948171,Avonmore [Metcalfe],"Touring, E, v2020","Metcalfe, Ontario",118.41,568,17,17,"",2015-02-07,Andre Gauthier,2020-11-22,Andre Gauthier,Public,"","",No
